english,arabic
 rostral,منقاري
 rounded,مدور
 rugby,الروكبي (لعبة تشبه كرة القدم)
 runners,العدائين
 samaritan,السامري، أحد أبناء السامرة بفلسطين
 sclerotome,بضعة عظمية
 separation,الافتراق
 sequence,سلسلة ، متوالية
 shades,الظلال
 sheath,غمد
 sheath,الغمد
 simplification,إيضاح، تيسير، تبسيط
 situated,"قائم, كائن, في حالة معينة, واقع على"
 skeletally,بشكل هيكلي (هيكليا)
 sling,"حمالة الكتف, معلاق"
 sparing,استبقاء
 spatial,"حيزي, مكاني"
 spinal cord injury,إصابة الحبل الشوكي
 spondylo,الفقرة
 stabilize,"ثبت, استقر"
 stabilized,مستقر
 step,درجة
 step-off,درجة
 strengthening,تقوية
 stress,اجهاد
 stress,اصر على
 stripping,تعرية
 subcutaneous,تحت الجلد
 subside,يختفي
 suffice,"كفى, وفى بالغرض"
 superiorly,بشكل علوي (علويا)
 surrounded,محاط
 suture,"قطب الجرح, خاط ، خياطة"
 symptomatic,"عرضي, أعراضي, دال على"
 symptomatology,طب الأعراض ، مبحث الأعراض
 synonym,مترادف، مرادف
 synonyms,المرادفات
 tax,أرهق
 telescope,تداخل ، تداخلي
 tendinosis,اعتلال وتري
 tendinosuture,خياطة الوتر
 through,خلال
 tibiale,مجاور للظنبوب (عظم في الجنين)
 tilt,الميل ، مائل
 transection,قطع
 transfer,النقل
 trapezoid,شبه منحرف
 traumatic,رضي
 undue,"غير ضروري, غير مناسب ، لا داعي له"
 uniform,موحد
 unremarkable,عادي
 usefulness,"جدوى، نفع, الفائدة"
 variant,"مختلف, متنوع ، المغاير ، شكل مختلف, تهجية مختلفة, المتخالف"
 volvulus,انفتال
 walking ability,القدرة على المشي
 wavy,متموج
 weighted,مع حمل وزن
 wiring,إسلاك (تثبيت بالسلك)
 with respect to,بخصوص، فيما يتعلق بـ
 wrestling,المصارعة
 x-ray,الأشعة السينية
a fly in the ointment,ظهرت بعض المنغصات
ablation,انفصال استئصال بالجراحة
abnormalities,الاضطرابات ، شذوذات
abnormalities,تشوهات
abnormality,شذوذ
abnormality,شذوذ ، اضطراب
Abrasion,السحج ، الكشط
abstinence,امتناع
accentuate,أبرز
accessory,إضافي
accompaniment,"مرافقة, مصاحبة"
accompaniments,تلازم، مرافقة ، مصاحبة
Achondroplasia,عدم التصنع الغضروفي (الودانة)
activated,مفعلة
actively,بشكل فاعل
adductus,تقريب
adjacent,مجاور
administered,يعطى
Administration,التدبير
adolescent,يافع
affected,مصاب بـ
affected,مصاب
aggravate,أثار، فاقم، صعد
aggravate,أغضب، أثار، فاقم، صعد
aggravating,"متفاقم, مشدد"
aggravating,"مزعج, متفاقم, مشدد"
agitation,التحريك
agitation,تحريك
aligned,مرتصف ، مصطف
aligned,اصطف
allergic,ارجي
allergic reaction,الارتكاس الأرجي (الحساسية)
allograft,طعم خيفي (طعم من فرد ينتمي لنفس النوع)
alteration,تبدل ، تغيير
altered,مبدل، مبدل، معدل، مغير، مستبدل ، تغير
ambulatory,القادرين على السير
ambulatory,القادرين على المشي
ambulatory, قادر على السير
Ambulatory patients,المرضى القادرين على السير
amplify,يضخم
Amyoplasia,قصور التعضل
analgesics,مسكنات
anatomical,تشريحي
anatomist,"مشرح, عالم التشريح"
anchors,المراس
anchors,ارتكز
anchors,ارتكز ، المراسي
aneurysm,أم الدم
aneurysms,أمهات الدم
ankylosis,قسط
anomalies,العيوب
anonymous,لا مسمى ، مجهول الاسم
anti-inflammatory,مضاد الالتهاب
antilordotic,مضاد للقعس
Apophysitis,التهاب النتوء
applicable,"قابل للتطبيق, قابل للاستعمال"
Appreciate,قدر
approaches,الطرق
arbitrary,اعتباطي ، كيفي
arch,قوس
arches,اقواس
arranging,"تنظيم, ترتيب ، تنسيق"
arthrodesis,إيثاق المفصل
arthrogram,صورة المفصل الشعاعية الظليلة
arthrography,تصوير المفصل الظليل
arthrogryposis,اعوجاج المفصل
arthroplasty,رأب (تصنيع) مفصل
