english,arabic
spondyloepiphyseal dysplasia,خلل تنسج (ثدن) فقري مشاشي
spread,ينتشر ، انتشار
strictly,"بدقة, بصرامة, بتشدد"
stripping,تجريد
strive,"كافح, ناضل,"
structures,بنى ، التراكيب
subluxates,ينخلع جزئيا
subluxation,تحت خلع
subluxation,تحت الخلع
subside,"انحسر ، استراح, أخمد, سكت, ابتعد, هدأ, استقر, همد, هبط, أضعف ، يختفي"
subtler,غير ملحوظ
succession,التعاقب
suitable,مناسب
sure,"مؤكد, محتوم, أكيد"
surveys,استقصاءات - تقصيات (مسوحات)
suspected,مشكوك فيه ، مشبوه
sutures,خياطات
symmetric,متناظر
symptomatic,أعراضي ، عرضي
synchondrosis,الالتحام الغضروفي
synonym,مرادف
synonyms,مرادفات
synovitis,التهاب الغشاء الزليلي
synthase,سينثاز (إنزيم)
talocalcaneal,قعبي عقبي
tarsal,رصغي
teens,مراهقون
tenderness,مضض ، إيلام
tented,مشوهة
therefore,"بناء على, إذا, من ثم, من أجل ذلك الغرض"
thirds,الأثلاث
thoracolumbosacral,صدري قطني عجزي
three-dimensional,ثلاثي-الأبعاد
thrombocytopenia,نقص الصفيحات
tibiale,مجاور للظنبوب
tight,مشدود
Tillaux,تيلاوكس
to document,لتوثيق
Torn,ممزق
tour,الجولة
towel clip,ماسك رفادة (بنس شان)
transection,قطع
transient synovitis,التهاب الغشاء الزليلي العابر
transplantation,ازدراع (زرع)
traumatologists,جراحي الرضوض
trick,"مكيدة, خدعة, حيلة"
trouble,"أقلق, عكر, أزعج"
troubles,"أقلق, عكر, أزعج"
tube feeding,أنبوب تغذية
tumours,اورام
ultrasonography,التصوير بالموجات فوق الصوتية
unconsciously,"على نحو غافل, على نحو فاقد للوعي, على نحو مغمى عليه"
uncoverage,غير مغطى
underarm,تحت الذراع ، الابط
underlying,مستبطن ، تحتي ، الواقع تحت
undertake,"باشر, شرع"
unossified,غير متعظم
unremarkable,عادي
uphill,شاق ، مرتفع
upright,عمودي
urged,محثوث
valgus,الفحجاء
valuable,"ذو قيمة, قيم"
variant,"مختلف, متنوع"
varied,مختلف
venous,وريدي
venule,وريد
vigorous,نشيط
virtually,"واقعيا, عمليا, فعليا"
warrant,"برر, سوغ, أكد, أجاز, ثبت, سمح (لـ أو بــ), تعهد, التفويض"
wasting,هزال
WBC,كريات الدم البيضاء
weightbearing,حمل الوزن
weighted,موزون
well,"معافى, حسن ، جيد, تماما, كما يجب, إلى حد بعيد"
whereby,"الذي به, وفقا ل, بواسطته, حيث"
whole,صحيح، كامل
windswept,معرض للريح
Windswept hips,وركين عصفت بهم الرياح
Wormian,الورمياني (الدرزي)
worsen,يزيد سوء (يفاقم)
Worsening,تفاقم
wrestlers,المصارعون
Z-plasty,تصنيع-Z
